Starting debug run...
Fetching revenue events...
Fetched 672 events.
[DEBUG] Cutoff Date: 2026-01-20T12:37:39.368Z
Event: subscription | Date: 2026-02-15T19:53:19.52+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T18:22:57.521+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T17:37:17.333+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T17:30:47.05+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T17:20:26.255+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T17:05:20.471+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T16:24:09.626+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T16:17:58.713+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T15:39:13.031+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T15:22:36.7+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T14:16:06.577+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T13:11:11.778+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T12:32:54.359+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T12:19:43.432+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T12:16:17.463+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T10:38:15.659+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T10:29:23.195+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
